"choicepair"	"A1_prob"	"A1_payoff"	"A2_prob"	"A2_payoff"	"B1_prob"	"B1_payoff"	"B2_prob"	"B2_payoff"	"A_mean"	"B_mean"	"A_var"	"B_var"	"A_sd"	"B_sd"	"HV_option"	"HM_option"
"1"	1	0.29	88	0.71	78	0.29	53	0.71	91	80.9	79.98	20.59	297.3196	4.53762052181537	17.2429579828984	"B"	"A"
"2"	2	0.82	26	0.18	34	0.49	18	0.51	31	27.44	24.63	9.4464	42.2331	3.07349963396777	6.49869986997399	"B"	"A"
"3"	3	0.59	31	0.41	63	0.89	92	0.11	20	44.12	84.08	247.7056	507.5136	15.7386657630182	22.5280624999133	"B"	"B"
"4"	4	0.07	51	0.93	35	0.6	9	0.4	89	36.12	41	16.6656	1536	4.08235226309538	39.1918358845308	"B"	"B"
"5"	5	0.48	13	0.52	70	0.18	72	0.82	60	42.64	62.16	810.9504	21.2544	28.4771908726967	4.61024945095165	"A"	"B"
"6"	6	0.63	41	0.37	18	0.98	56	0.02	8	32.49	55.04	123.3099	45.1584	11.1044990882074	6.72	"A"	"B"
"7"	7	0.17	70	0.83	65	0.35	100	0.65	50	65.85	67.5	3.5275	568.75	1.87816399709929	23.8484800354236	"B"	"B"
"8"	8	0.98	76	0.02	37	0.82	49	0.18	50	75.22	49.18	29.8116	0.1476	5.46	0.384187454245971	"A"	"A"
"9"	9	0.37	26	0.63	64	0.89	19	0.11	81	49.94	25.82	336.5964	376.3276	18.3465637109514	19.3991649304809	"B"	"A"
"10"	10	0.19	43	0.81	5	0.14	91	0.86	6	12.22	17.9	222.2316	869.89	14.9074343869091	29.4938976739257	"B"	"B"
"11"	11	0.91	43	0.09	96	0.66	48	0.34	38	47.77	44.6	230.0571	22.44	15.1676333025294	4.7370877129308	"A"	"A"
"12"	12	0.33	69	0.67	56	0.4	89	0.6	37	60.29	57.8	37.3659	648.96	6.11276533166455	25.4746933249451	"B"	"A"
"13"	13	0.99	24	0.01	53	0.71	17	0.29	77	24.29	34.4	8.3259	741.24	2.8854635676092	27.2257231308922	"B"	"B"
"14"	14	0.24	47	0.76	27	0.88	45	0.12	29	31.8	43.08	72.96	27.0336	8.54166260162505	5.19938457896702	"A"	"B"
"15"	15	0.09	56	0.91	19	0.76	13	0.24	90	22.33	31.48	112.1211	1081.4496	10.5887251357281	32.8854010162564	"B"	"B"
"16"	16	0.88	72	0.12	29	0.39	67	0.61	63	66.84	64.56	195.2544	3.8064	13.9733460559739	1.95099974372115	"A"	"A"
"17"	17	0.61	37	0.39	50	0.6	6	0.4	45	42.07	21.6	40.2051	365.04	6.34074916709374	19.1060199937088	"B"	"A"
"18"	18	0.9	76	0.1	69	0.66	19	0.34	79	75.3	39.4	4.41	807.84	2.1	28.4225262775848	"B"	"A"
"19"	19	0.69	57	0.31	40	0.07	39	0.93	74	51.73	71.55	61.8171	79.7475	7.86238513429608	8.93014557552115	"B"	"B"
"20"	20	0.01	53	0.99	99	0.83	87	0.17	61	98.54	82.58	20.9484	95.3836	4.57694221069045	9.76645278491633	"B"	"A"
"21"	21	0.12	52	0.88	73	0.98	92	0.02	19	70.48	90.54	46.5696	104.4484	6.82419225989421	10.22	"B"	"B"
"22"	22	0.38	40	0.62	55	0.14	26	0.86	96	49.3	86.2	53.01	589.96	7.28079665970696	24.2890922020565	"B"	"B"
"23"	23	0.16	66	0.84	23	0.79	15	0.21	29	29.88	17.94	248.5056	32.5164	15.7640603906481	5.70231531923656	"A"	"A"
"24"	24	0.31	100	0.69	48	0.58	100	0.42	1	64.12	58.42	578.3856	2387.5236	24.0496486460821	48.8622922098421	"B"	"A"
"25"	25	0.05	60	0.95	76	0.84	95	0.16	17	75.2	82.52	12.16	817.6896	3.48711915483254	28.5952723365244	"B"	"B"
"26"	26	0.62	1	0.38	83	0.41	37	0.59	24	32.16	29.33	1584.1744	40.8811	39.801688406398	6.39383296622613	"A"	"A"
"27"	27	0.8	54	0.2	21	0.49	98	0.51	3	47.4	49.55	174.24	2255.3475	13.2	47.4904990498099	"B"	"B"
"28"	28	0.34	24	0.66	59	0.42	47	0.58	64	47.1	56.86	274.89	70.4004	16.5798069952578	8.39049462189208	"A"	"B"
"29"	29	0.19	30	0.81	97	0.14	85	0.86	82	84.27	82.42	690.8571	1.0836	26.2841606295503	1.04096109437385	"A"	"A"
"30"	30	0.74	62	0.26	0	0.44	23	0.56	31	45.88	27.48	739.5856	15.7696	27.195323127332	3.97109556671707	"A"	"A"
"31"	31	0.99	31	0.01	68	0.04	32	0.96	47	31.37	46.4	13.5531	8.64	3.68145351729449	2.93938769133981	"A"	"B"
